postcode,id
01000,07100
01000,07106
01000,07104
01000,08750
01000,07102
01000,08753
01000,02496
01000,07982
01000,07988
01000,07986
01000,08660
01000,07981
01000,07980
01000,03217
01000,03210
01000,03214
01000,02498
01000,08747
01000,04560
01000,97333
01000,08740
01000,05687
01000,07740
01000,05680
01000,02860
01000,08742
01000,08746
01000,07741
01000,05804
01000,02900
01000,05805
01000,64301
01000,01300
01000,01801
02000,03520
02000,03730
02000,02144
02000,01629
02000,04960
02000,02261
02000,02475
02000,02516
02000,03732
02000,06080
02000,02690
02000,02595
02000,02270
02000,02458
03000,04032
03000,06580
03000,04030
03000,02594
03000,02231
03000,02900
03000,01887
03000,02860
03000,05804
03000,03200
04000,02217
04000,02493
04000,04500
04000,02720
04000,05503
04000,07796
04000,04060
04000,07060
04000,07790
04000,02430
04000,02582
04000,01660
04000,05506
04000,02519
04000,02585
04000,05550
04000,02110
04000,01721
05000,04500
05000,04503
05000,02217
05000,02578
05000,08380
05000,02605
05000,05688
05000,02493
05000,02211
05000,05683
05000,04380
05000,05503
05000,01738
05000,01723
05000,02582
05000,01743
05000,08621
05000,05685
05000,07796
05000,05506
05000,02583
05000,05840
05000,02434
05000,05680
05000,02585
05000,08623
05000,02720
05000,04060
05000,01300
05000,02584
05000,05890
05000,06936
05000,05687
05000,05684
05000,01874
05000,02590
05000,07790
05000,02430
05000,07060
05000,05550
05000,01742
05000,04750
05000,02519
05000,08746
05000,01750
05000,01653
05000,01660
05000,01731
05000,02110
05000,02589
05000,03090
05000,02612
05000,01721
05000,03130
05000,03098
05000,02072
05000,03210
05000,07981
05000,07986
05000,03217
05000,05860
05000,02320
05000,02328
05000,03214
05000,02384
05000,05800
05000,07980
05000,02327
05000,07710
05000,05803
05000,05805
05000,05343
05000,64301
05000,01617
05000,01801
05000,05348
05000,02494
05000,01903
05000,04035
05000,05344
05000,05345
06000,02519
06000,02430
06000,02110
06000,01660
06000,07060
06000,04060
06000,04750
07000,08623
07000,01750
07000,01743
07000,01723
07000,01738
07000,08621
07000,05840
07000,07710
07000,05890
07000,01742
07000,02211
07000,02347
07000,02578
07000,08380
07000,04380
08000,06080
08000,04960
08000,02144
08000,06981
08000,01354
08000,04245
08000,03520
08000,06980
08000,07510
08000,02475
08000,04240
08000,03730
08000,01358
08000,01367
08000,02302
08000,04242
08000,02357
08000,02355
08000,02261
08000,02341
08000,01629
08000,06570
08000,03732
08000,01773
08000,02516
08000,05621
08000,07620
08000,01608
08000,01631
08000,01374
08000,06622
08000,05620
08000,06180
08000,08270
08000,07600
08000,02974
08000,63190
08000,06579
08000,06181
08000,01708
08000,08272
08000,63192
08000,04235
08000,02270
08000,01671
08000,02690
08000,04230
08000,06772
08000,02595
08000,03773
08000,06770
08000,02188
08000,02458
08000,06573
08000,07492
08000,06860
08000,01785
08000,01873
08000,02428
08000,08594
08000,03770
08000,03010
08000,07490
08000,01545
08000,02601
08000,02604
08000,02465
08000,02476
08000,07031
08000,04944
08000,08250
08000,07030
08000,02596
08000,01397
08000,02462
08000,02466
08000,08252
08000,04550
08000,02603
08000,03121
08000,02611
08000,07990
08000,04910
08000,02011
08000,01420
08000,02012
08000,01293
08000,02109
08000,08221
08000,02269
08000,04370
08000,05360
08000,04770
08000,02410
08000,02413
09000,02960
09000,04850
09000,07130
09000,04652
09000,02321
09000,08778
09000,05441
09000,04650
10000,07950
10000,01709
10000,08023
10000,02587
10000,08028
10000,05656
10000,08020
10000,02341
10000,08450
10000,01537
10000,02974
10000,02357
10000,02355
10000,08451
11000,07130
11000,05441
11000,05440
11000,04620
11000,02960
11000,01604
11000,07660
11000,08778
11000,02321
11000,02087
11000,08770
11000,02336
12000,02581
12000,05014
12000,02113
12000,02114
12000,07870
12000,07872
12000,07873
12000,02347
12000,03501
12000,03500
13000,02562
13000,06390
13000,03167
13000,07090
13000,03090
13000,01653
14000,05140
14000,02407
14000,02329
14000,05148
14000,04460
14000,03550
15000,07873
15000,05014
15000,02114
15000,01788
15000,02581
15000,01941
15000,90132
15000,07872
15000,02223
15000,02347
15000,03501
15000,02566
16000,05220
16000,02041
16000,02282
16000,05223
16000,05226
16000,02172
16000,02281
16000,06440
16000,01880
16000,02566
16000,02283
16000,04172
16000,02267
16000,05870
16000,04175
17000,04170
17000,04431
17000,04172
17000,04175
17000,02850
17000,04437
17000,02283
17000,02172
17000,02281
17000,08792
17000,04430
17000,04433
17000,02282
17000,06494
18000,03200
18000,01887
18000,06581
18000,06580
18000,01550
18000,08360
18000,04032
18000,01821
19000,01941
19000,90132
19000,02566
19000,03193
19000,02223
19000,07873
19000,02267
19000,06440
19000,01880
20000,02339
20000,64531
20000,02264
20000,02338
20000,01660
20000,01599
20000,02110
20000,07060
20000,02519
20000,02430
20000,04750
20000,04060
20000,02398
20000,02720
20000,06930
20000,06851
20000,06890
20000,01874
20000,06850
20000,06936
20000,07090
20000,03167
20000,06390
20000,02562
20000,01653
20000,02217
20000,02493
20000,07790
20000,07796
20000,03090
20000,03098
20000,05503
20000,01721
20000,05550
20000,02585
20000,05506
20000,02582
20000,02584
20000,03130
20000,02583
20000,05890
20000,05860
20000,05840
20000,05343
20000,01617
20000,05348
20000,01903
20000,05344
20000,02494
20000,05345
20000,02384
21000,07780
21000,02586
21000,07788
21000,03340
21000,03344
21000,07782
21000,08451
21000,04560
21000,07430
21000,02587
21000,08022
21000,08470
21000,08023
22000,05480
22000,02614
22000,02505
22000,01346
22000,05484
22000,02615
22000,01329
22000,07290
22000,06505
22000,06500
22000,00433
22000,02627
23000,02230
23000,05870
23000,02267
23000,02231
23000,02594
23000,01880
23000,01887
23000,08794
23000,03631
23000,05226
24000,06440
